Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_1,-7.83131,0.451406,C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3[C@@H](C)CCN3/C([O-])=C3/C=COC3)c1)OC=2O,-10.4,298.3156464,0.682,(Gen_4_Cross_521466+Gen_4_Cross_2774)Gen_5_Cross_263158,Gen_5_Cross_263158,Gen_5_Cross_263158__5
ligand_2,-7.65859,0.55578,C[C@H]1CCN(/C([O-])=C2/C=COC2)[N@@H+]1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-10.2,335.2402397,0.704,(Gen_3_Cross_379998+Gen_4_Mutant_7_455240)Gen_5_Cross_519174,Gen_5_Cross_519174,Gen_5_Cross_519174__1
ligand_3,-7.51212,0.42242,C[C@@H]1CCN([C@@H]2C=CS(=O)(=O)C2)N1c1cccc(N/C(O)=C/[C@H]2OC(=O)c3ccccc32)c1,-9.9,332.3578851,0.675,(Gen_1_Mutant_18_832344+Gen_1_Mutant_93_709260)Gen_2_Cross_54563,Gen_2_Cross_54563,Gen_2_Cross_54563__3
ligand_4,-7.48586,0.490724,C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.8,344.2047845,0.704,(Gen_3_Cross_379998+Gen_3_Cross_59669)Gen_4_Cross_2774,Gen_4_Cross_2774,Gen_4_Cross_2774__2
ligand_5,-8.06667,0.498685,C[C@H]1CCN([C@@H]2C=CS(=O)(=O)C2)[N@H+]1c1cccc(N/C(O)=C/[C@H]2OC(=O)c3ccccc32)c1,-9.7,325.0542824,0.675,(Gen_4_Cross_2774+Gen_2_Cross_54563)Gen_5_Cross_327267,Gen_5_Cross_327267,Gen_5_Cross_327267__5
ligand_6,-7.68384,0.490456,C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-9.7,343.5002759,0.704,(Gen_2_Cross_664731+Gen_2_Mutant_13_824977)Gen_3_Cross_379998,Gen_3_Cross_379998,Gen_3_Cross_379998__2
ligand_7,-6.84444,0.364102,C[C@]12CCCC[C@H]1CCC[C@H]2NC(=O)[C@]1(C)Cc2ccccc2C(=O)O1,-9.6,375.7763719,0.815,(Gen_2_Mutant_77_672305+Gen_2_Cross_603129)Gen_3_Cross_122107,Gen_3_Cross_122107,Gen_3_Cross_122107__2
ligand_8,-6.7303,0.486059,C=c1ccc2c(c1)C[C@@](C)(C(=O)[N-][C@H]1CCC[C@@]3(n4c[nH+]n[nH+]4)CCCC[C@@H]13)OC=2O,-9.6,291.54349,0.762,(Gen_1_Cross_873628+cmp52)Gen_2_Cross_286735,Gen_2_Cross_286735,Gen_2_Cross_286735__2
ligand_9,-6.85152,0.34884,C[C@@]1(C(=O)/N=C2\CC=C([NH3+])[C@@]3(O)CCCC[C@@]23C#N)Cc2ccccc2C(=O)O1,-9.6,368.3742067,0.71,(Gen_1_Cross_894131+Gen_1_Mutant_87_246657)Gen_2_Cross_618529,Gen_2_Cross_618529,Gen_2_Cross_618529__3
ligand_10,-7.56667,0.519129,C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc(/N=C(/O)[C@@]2(C)Cc3ccccc3C(=O)O2)c1,-9.5,345.7413061,0.704,(Gen_4_Mutant_65_380035+Gen_3_Cross_379998)Gen_5_Cross_498135,Gen_5_Cross_498135,Gen_5_Cross_498135__5
ligand_11,-7.24545,0.391648,O=C1O[C@@H](C(=O)[N-][C@@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,-9.5,350.7355514,0.798,(Gen_1_Cross_274180+Gen_1_Cross_894131)Gen_2_Cross_799820,Gen_2_Cross_799820,Gen_2_Cross_799820__1
ligand_12,-6.78182,0.428849,O=C(C[C@@H]1OC(=O)c2ccccc21)[N-][C@H]1CCC[C@@]2(n3cn[nH+]n3)CCCC[C@@H]12,-9.5,338.9809813,0.799,(Gen_2_Cross_917469+Gen_2_Cross_46775)Gen_3_Cross_147504,Gen_3_Cross_147504,Gen_3_Cross_147504__2
ligand_13,-6.89192,0.430099,Cc1ccc2c(c1)C[C@@](C)(/C(O)=N\[C@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@@H]13)OC2=O,-9.5,338.6391555,0.762,(Gen_2_Cross_286735+Gen_2_Cross_618529)Gen_3_Cross_724893,Gen_3_Cross_724893,Gen_3_Cross_724893__5
