Ligand,Docking Score from Ensemble Docking (kcal/mol),Standard Deviation,SMILES,Docking Score from AutoGrow4 (kcal/mol),Molecular Weight,QED,Name,Origins,
ligand_1,-7.39394,0.488208,C[C@@H]1C[C@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)nn2)CN(/C=C2/NC(C)(C)CO2)C1,-10.1,280.198162,0.671,(Gen_4_Cross_825876+Gen_3_Cross_622911)Gen_5_Cross_838634,Gen_5_Cross_838634,Gen_5_Cross_838634__2
ligand_2,-7.39495,0.406854,C[C@@H]1C[C@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)[nH+]n2)CN(/C=C2/NC(C)(C)CO2)C1,-10,280.77219,0.671,(Gen_4_Cross_825876+Gen_3_Cross_691039)Gen_5_Cross_350469,Gen_5_Cross_350469,Gen_5_Cross_350469__3
ligand_3,-7.51616,0.393818,Cc1ccnn1[C@@H]1[C@@H](C#N)[C@@H](NC(=O)NC[C@]2(C)Cc3ccccc3C(=O)O2)CC[C@H]1C,-9.8,322.826628,0.717,(Gen_4_Cross_688775)Gen_5_Mutant_21_66341,Gen_5_Mutant_21_66341,Gen_5_Mutant_21_66341__1
ligand_4,-7.33535,0.506386,C[C@@H]1C[C@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)nn2)CN(/C=C2\[NH2+]C(C)(C)CO2)C1,-9.8,281.136382,0.671,(Gen_3_Cross_686284+Gen_3_Cross_894610)Gen_4_Cross_825876,Gen_4_Cross_825876,Gen_4_Cross_825876__4
ligand_5,-7.59899,0.510792,C[C@@H]1C[C@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)n[nH+]2)CN(/C=C2\NC(C)(C)CO2)C1,-9.8,280.939595,0.671,(Gen_2_Mutant_18_641764+Gen_2_Mutant_21_907634)Gen_3_Cross_686284,Gen_3_Cross_686284,Gen_3_Cross_686284__2
ligand_6,-7.21616,0.450523,C[C@@H]1C[C@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)[nH+]n2)CN(CC2=[NH+]C(C)(C)CO2)C1,-9.6,280.657169,0.671,(Gen_1_Mutant_32_712144+Gen_3_Cross_686284)Gen_4_Cross_987083,Gen_4_Cross_987083,Gen_4_Cross_987083__3
ligand_7,-7.13737,0.417202,C=c1ccc2c(c1)C[C@H](C(=O)[N-][C@]1(n3nccc3C)CCC[C@@H]3CCCC[C@@H]31)OC=2C#N,-9.6,287.278399,0.812,(Gen_2_Cross_172723)Gen_4_Mutant_7_455519,Gen_4_Mutant_7_455519,Gen_4_Mutant_7_455519__3
ligand_9,-7.80202,0.393374,C[C@H]1C[C@@H](c2cn(/C=C\[C@@H]3OC(=O)c4ccccc43)n[nH+]2)CN(/C=C2\[NH2+]C(C)(C)CO2)C1,-9.5,281.970504,0.671,(Gen_4_Cross_169002+Gen_4_Cross_825876)Gen_5_Cross_439109,Gen_5_Cross_439109,Gen_5_Cross_439109__4
ligand_10,-7.51616,0.463345,C[C@@H]1C[C@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)[nH+]n2)CN(/C=C2/NC(C)(C)CO2)C1,-9.5,280.77219,0.671,(Gen_3_Cross_894610+Gen_3_Cross_686284)Gen_5_Cross_587481,Gen_5_Cross_587481,Gen_5_Cross_587481__2
ligand_11,-7.51212,0.503778,C=c1ccc2c(c1)C[C@@](C)(C(=O)N[C@H]1CCC[C@@]3(n4c[nH+]nn4)CCCC[C@@H]13)OC=2OC(C)=O,-9.5,276.473911,0.678,(Gen_2_Cross_313564+ZINC000001698817)Gen_4_Mutant_24_857094,Gen_4_Mutant_24_857094,Gen_4_Mutant_24_857094__3
ligand_13,-7.43434,0.397762,Cc1ccnn1[C@@H]1[C@@H](C#N)[C@@H](N/C(O)=N/C[C@]2(C)Cc3ccccc3C(=O)O2)CC[C@H]1C,-9.5,328.36945,0.717,(Gen_3_Cross_592583)Gen_4_Mutant_21_455711,Gen_4_Mutant_21_455711,Gen_4_Mutant_21_455711__3
ligand_15,-7.35253,0.293135,C=C1CCC[C@H]2C[C@@](C)(C(=O)[N-]c3cccc(-n4c[nH+]nn4)c3)OC(=O)[C@H]12,-9.4,310.5364392,0.837,(Gen_1_Cross_343414+Gen_1_Cross_235583)Gen_2_Cross_44575,Gen_2_Cross_44575,Gen_2_Cross_44575__5
ligand_17,-7.40101,0.429116,Cc1ccc2c(c1)C[C@](C)(/C(O)=N\[C@@H]1CC[C@@H]3N[C@@H]4CCCC[C@@H]4[C@H]3C1)OC2=O,-9.4,294.9392012,0.753,(Gen_2_Cross_332670+Gen_2_Mutant_32_554710)Gen_3_Cross_416989,Gen_3_Cross_416989,Gen_3_Cross_416989__5
ligand_18,-7.35455,0.428828,C=c1ccc2c(c1)C[C@H](C(=O)N[C@]1(n3[nH+]ccc3C)CCC[C@@H]3CCCC[C@@H]31)OC=2O,-9.4,287.9589544,0.759,(Gen_1_Cross_479395+Gen_1_Cross_655641)Gen_2_Cross_172723,Gen_2_Cross_172723,Gen_2_Cross_172723__5
ligand_19,-7.17879,0.435141,C[C@@H]1C[C@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)nn2)CN(CC2=[NH+]C(C)(C)CO2)C1,-9.4,280.2475416,0.671,(Gen_3_Cross_686284+Gen_3_Cross_662239)Gen_4_Cross_141674,Gen_4_Cross_141674,Gen_4_Cross_141674__3
ligand_21,-7.21818,0.344763,C[C@H]1C[C@@H](c2cn(/C=C/[C@H]3OC(=O)c4ccccc43)n[nH+]2)CN(C(=O)[C@@H](C)CN)C1,-9.4,302.6824461,0.76,(Gen_1_Mutant_48_781330+ZINC000000895531)Gen_2_Mutant_13_449833,Gen_2_Mutant_13_449833,Gen_2_Mutant_13_449833__1
ligand_25,-7.14848,0.354869,Cc1ccnn1-c1ccc(Cl)c(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,-8.6,323.1777913,0.681,(Gen_4_Cross_287331+Gen_4_Cross_512364)Gen_5_Cross_842247,Gen_5_Cross_842247,Gen_5_Cross_842247__1
ligand_26,-7.49798,0.44061,C[C@@H]1C[C@H](c2cn(/C=C/[C@@H]3OC(=O)c4ccccc43)[nH+]n2)CN(/C=C2/[NH2+]C(C)(C)CO2)C1,-8.6,281.5524019,0.671,(Gen_4_Cross_165080+Gen_3_Cross_686284)Gen_5_Cross_113464,Gen_5_Cross_113464,Gen_5_Cross_113464__1
