SMILES,Run,Ligand,gasa,QED,caco2,MDCK,PPB,logVDss,Fu,LM-human,cl-plasma,DILI,Nephrotoxicity-DI,Neurotoxicity-DI,Hematotoxicity,A549
Cc1ccnn1-c1cccc(NC(=O)CC2OC(=O)c3ccccc32)c1,cmp5,,0,0.734,-4.624389542,-4.325303389,96.83794608,-0.3999961802,2.975879405,0.999747932,4.296544212,0.9021232724,0.7988645434,0.7438670397,0.240758419,0.02332432009
C=c1ccc2c(c1)C[C@](C)(C(=O)[N-]c1cccc(N3[C@@H](C)CCN3/C([O-])=C3/C=COC3)c1)OC=2O,1,ligand_1,1,0.586,-5.616858669,-4.931076239,95.1320621,0.0141093916,3.823303618,0.3387134969,1.053392164,0.994971633,0.9724165797,0.3709833324,0.6903669238,0.1729461849
C[C@H]1CCN(/C([O-])=C2/C=COC2)[N@@H+]1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,1,ligand_2,1,0.527,-5.419733291,-4.766287251,94.45686888,-0.03408558231,4.244124489,0.8341720104,3.526601516,0.9904072881,0.9733496904,0.4709894359,0.5430390835,0.1748766601
C[C@@H]1CCN([C@@H]2C=CS(=O)(=O)C2)N1c1cccc(N/C(O)=C/[C@H]2OC(=O)c3ccccc32)c1,1,ligand_3,1,0.509,-5.095138148,-4.761899535,76.16445799,-0.2148193511,14.75955377,0.794031322,1.972906346,0.9868272543,0.9181957841,0.7572517991,0.1353896409,0.07496579736
C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,1,ligand_4,1,0.527,-5.419733291,-4.766287251,94.45686888,-0.03408558231,4.244124489,0.8341720104,3.526601516,0.9904072881,0.9733496904,0.4709894359,0.5430390835,0.1748766601
C[C@H]1CCN(/C([O-])=C2/C=COC2)N1c1cccc(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,1,ligand_6,1,0.527,-5.419733291,-4.766287251,94.45686888,-0.03408558231,4.244124489,0.8341720104,3.526601516,0.9904072881,0.9733496904,0.4709894359,0.5430390835,0.1748766601
O=C1O[C@@H](C(=O)[N-][C@@H]2CCC[C@]3(n4c[nH+]nn4)CCCC[C@@H]23)Cc2ccccc21,1,ligand_11,1,0.798,-4.93472731,-4.594998288,84.10787247,-0.1159164554,16.15450957,0.7908268571,4.566957259,0.9403038025,0.8089337349,0.5915913582,0.1530713886,0.0634220317
[H]/N=C(\C)[C@@H](O)N1CC[C@@H](C)[N@H+]1c1cccc(NC(=O)[C@@]2(C)Cc3cc(=C)ccc3=C(O)O2)c1,1,ligand_17,1,0.518,-5.386598911,-4.917770977,92.24599797,0.1743733659,6.040731302,0.6363378763,1.107553458,0.998356998,0.9980177879,0.1334175318,0.9596748352,7.27E-05
C[C@H]1CCN(C(=O)C2=CCOC2)N1c1cccc([N-]C(=O)[C@]2(C)Cc3ccccc3C(=O)O2)c1,1,ligand_19,0,0.704,-5.178313533,-4.658087953,94.89646953,0.03764192645,3.973016523,0.9635319114,4.47849879,0.9232727885,0.933193922,0.6019989252,0.3126865923,0.1344675422
C[C@@]1(C(=O)NC2=CC/C(=N\C(=O)C3CCC3)[C@@]3(O)CCCC[C@@H]23)Cc2ccccc2C(=O)O1,1,ligand_20,1,0.688,-4.927976172,-4.596794503,89.5210736,0.2184673506,10.03021961,0.9977862835,2.850266596,0.5077594519,0.5941820145,0.2282705903,0.2826695144,0.057214614
